,full_address
0,"Northeast Alabama Health Services - Fyffe Clinic
Urgent Care Clinic and Drive-thru

Directions
34617 AL HWY 75, Fyffe, AL 35971
(256) 623-5242
Closed now▼
Appointment Required
Screening Required
Must call 256.259.5313x229 before entering clinic, remain in car for testing
Source: https://dph1.adph.state.al.us/covid-19/
* Verified on website* Verified by phone
Report an error"
1,"Acton Quick Care Clinic

Directions
2868 Acton Road, Birmingham, AL 35243
(205) 273-9424
Open now: 8AM-5PM▼
Source: https://dph1.adph.state.al.us/covid-19/
* Verified by phone
Report an error"
2,"Alabama Family Medicine
Urgent Care Clinic

Directions
1718 Veterans Memorial Pkwy Suite C , Tuscaloosa, AL 35404
(205) 553-1900
Open now: 8:30AM-7PM▼
Screening Required
Antibody Testing: Available
Must fill out online form prior to arrival https://www.crimsoncare.com/covid19
Source: https://carbonhealth.com/coronavirus/covid-19-testing-centers/Alabama
* Verified on website* Verified by phone
Report an error"
3,"Alabama Regional Medical Services
Urgent Care Clinic

Directions
2817 30th Avenue N, Birmingham, Birmingham, AL 35207
(205) 407-9696
Open now: 8AM-12PM▼
Source: https://dph1.adph.state.al.us/covid-19/
* Verified by phone
Report an error"
4,"American Family Care - Cullman
Urgent Care Clinic

Directions
1841 Cherokee Ave Sw, Cullman, AL 35055
(256) 743-5026
Open now: 8AM-6PM▼
Screening Required
Restrictions Apply
Antibody Testing: Available
Source: https://carbonhealth.com/coronavirus/covid-19-testing-centers/Alabama
* Verified on website* Verified by phone
Report an error"
5,"American Family Care Clinic-Alabaster

Directions
120 Colonial Promenade, Alabaster, AL 35007
(205) 605-0495
Open now: 8AM-6PM▼
Source: https://dph1.adph.state.al.us/covid-19/
* Verified by phone
Report an error"
6,"American Family Care Clinic-Athens

Directions
1285 Highway 72 East, Athens, AL 35611
(256) 278-3000
Open now: 8AM-6AM▼
Source: https://dph1.adph.state.al.us/covid-19/
* Verified by phone
Report an error"
7,"American Family Care Clinic-Bessemer
Urgent Care Clinic

Directions
5911 Harris Lane, Bessemer, AL 35022
(205) 461-0038
Open now: 8AM-6AM▼
Source: https://dph1.adph.state.al.us/covid-19/
* Verified by phone
Report an error"
8,"American Family Care Clinic-Calera

Directions
72 Highway 304, Calera, AL 35040
(205) 319-8000
Open now: 8AM-6AM▼
Source: https://dph1.adph.state.al.us/covid-19/
* Verified by phone
Report an error"
9,"American Family Care Clinic-Daphne
Urgent Care Clinic

Directions
6631 Park Drive, Daphne, AL 36526
(251) 255-2323
Open now: 8AM-6PM▼
Source: https://dph1.adph.state.al.us/covid-19/
* Verified by phone
Report an error"
10,"American Family Care Clinic-Decatur

Directions
2604 Highway 31 South, Decatur, AL 35603
(256) 445-3100
Open now: 8AM-5PM▼
* Verified by phone
Report an error"
11,"American Family Care Clinic-EastChase (Montgomery)
Urgent Care Clinic

Directions
2570 Berryhill Road, Montgomery, AL 36117
(334) 323-1330
Open now: 8AM-6PM▼
* Verified by phone
Report an error"
12,"American Family Care Clinic-Fairhope
Urgent Care Clinic

Directions
10040-A County Road 48, Fairhope, AL 36526
(251) 220-6980
Open now: 8AM-6PM▼
* Verified by phone
Report an error"
13,"American Family Care Clinic-Festival Centre (Mobile)

Directions
900 Montlimar Drive, Mobile, AL 36601
(251) 250-1403
Open now: 8AM-6PM▼
Source: https://www.afcurgentcare.com/locations/
* Verified by phone
Report an error"
14,"American Family Care Clinic-Flintridge (Fairfield)
Urgent Care Clinic

Directions
6554 Aaron Aronov Drive, Fairfield, AL 35004
(205) 786-5022
Open now: 8AM-6PM▼
Source: https://dph1.adph.state.al.us/covid-19/
* Verified by phone
Report an error"
15,"American Family Care Clinic-Gadsden
Urgent Care Clinic

Directions
366 East Meighan Boulevard, Gadsden, AL 35004
(205) 485-0983
Open now: 8AM-6PM▼
* Verified by phone
Report an error"
16,"American Family Care Clinic-Gardendale
Urgent Care Clinic

Directions
919 Odum Road, Gardendale, AL 35004
(205) 631-6834
Open now: 8AM-6PM▼
* Verified by phone
Report an error"
17,"American Family Care Clinic-Greenville
Urgent Care Clinic

Directions
101 Stabler Drive, Greenville, AL 36003
(334) 382-0734
Open now: 8AM-6PM▼
* Verified by phone
Report an error"
18,"American Family Care Clinic-Greystone (Birmingham)
Urgent Care Clinic

Directions
5410 Highway 280, Birmingham, AL 35242
(205) 201-7290
Open now: 8AM-6PM▼
* Verified by phone
Report an error"
19,"American Family Care Clinic-Hampton Cove (Owens Cross Roads)
Urgent Care Clinic

Directions
410 Sutton Road, Owens Cross Roads, AL 35763
(256) 424-8200
Open now: 8AM-6PM▼
Source: https://dph1.adph.state.al.us/covid-19/
* Verified by phone
Report an error"
20,"American Family Care Clinic-Hoover (Birmingham)
Urgent Care Clinic

Directions
1680 Montgomery Highway, Hoover, AL 35216
(205) 979-0888
Open now: 8AM-6PM▼
Source: https://dph1.adph.state.al.us/covid-19/
* Verified by phone
Report an error"
